date,facility_id,facility_name,country,region,storage_site_type,co2_emitted_tonnes,co2_captured_tonnes,co2_stored_tonnes,capture_efficiency_percent,storage_integrity_percent,anomaly_flag,notes
2022-05-27,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16660.81,15080.18,15029.44,90.51,99.664,False,
2022-05-28,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,18622.65,17411.89,17282.04,93.5,99.254,False,
2022-05-29,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,17418.53,15300.94,15206.68,87.84,99.384,False,
2022-05-30,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16677.22,14733.13,14687.02,88.34,99.687,False,
2022-05-31,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,18441.85,16550.34,16421.18,89.74,99.22,False,
2022-06-01,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16786.7,15628.73,15644.47,93.1,100.101,False,
2022-06-02,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,15752.74,15000.78,15009.86,95.23,100.061,False,
2022-06-03,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16513.45,15395.75,15384.92,93.23,99.93,False,
2022-06-04,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,17005.17,16988.16,16895.75,99.9,99.456,False,
2022-06-05,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16712.14,15803.43,15785.78,94.56,99.888,False,
2022-06-06,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16458.38,14802.0,14768.95,89.94,99.777,False,
2022-06-07,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16844.68,15964.56,15963.42,94.78,99.993,False,
2022-06-08,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,19470.29,17510.97,17510.77,89.94,99.999,False,
2022-06-09,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,15851.71,14824.36,14790.82,93.52,99.774,False,
2022-06-10,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,17631.31,15165.15,15126.37,86.01,99.744,False,
2022-06-11,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,19350.7,18527.1,18423.91,95.74,99.443,False,
2022-06-12,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,18423.79,16616.93,16660.29,90.19,100.261,False,
2022-06-13,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,17768.25,15685.59,15575.91,88.28,99.301,False,
2022-06-14,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,17978.22,16353.34,16333.19,90.96,99.877,False,
2022-06-15,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,17744.94,16098.89,16085.3,90.72,99.916,False,
2022-06-16,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,17513.56,17216.22,17189.06,98.3,99.842,False,
2022-06-17,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16740.82,14995.99,14890.53,89.58,99.297,False,
2022-06-18,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16228.24,15435.54,15344.92,95.12,99.413,False,
2022-06-19,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16189.92,14271.89,14227.97,88.15,99.692,False,
2022-06-20,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,17608.78,15478.62,15488.08,87.9,100.061,False,
2022-06-21,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16727.81,15876.17,15767.5,94.91,99.316,False,
2022-06-22,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,18132.33,17988.08,17927.69,99.2,99.664,False,
2022-06-23,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16869.23,14954.03,14860.55,88.65,99.375,False,
2022-06-24,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,17654.36,16308.39,16306.08,92.38,99.986,False,
2022-06-25,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,18151.1,16565.1,16491.7,91.26,99.557,False,
2022-06-26,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16330.52,16095.11,16099.16,98.56,100.025,False,
2022-06-27,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,15857.12,14768.73,14715.35,93.14,99.639,False,
2022-06-28,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16884.36,16289.98,16344.07,96.48,100.332,False,
2022-06-29,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16647.06,13966.03,13904.87,83.89,99.562,False,
2022-06-30,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16565.56,16206.69,16223.78,97.83,100.105,False,
2022-07-01,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16192.07,13883.46,13833.09,85.74,99.637,False,
2022-07-02,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,15161.56,14571.85,14528.28,96.11,99.701,False,
2022-07-03,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,15076.73,13816.64,13877.91,91.64,100.443,False,
2022-07-04,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,17186.82,16558.81,16475.74,96.35,99.498,False,
2022-07-05,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16293.14,14739.92,14679.15,90.47,99.588,False,
2022-07-06,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16444.39,14397.41,14461.06,87.55,100.442,False,
2022-07-07,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16889.06,15960.52,15920.23,94.5,99.748,False,
2022-07-08,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16596.76,14981.15,14935.05,90.27,99.692,False,
2022-07-09,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,17082.12,14931.56,14896.68,87.41,99.766,False,
2022-07-10,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,18608.76,15990.6,15938.24,85.93,99.673,False,
2022-07-11,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16020.96,14774.57,14807.85,92.22,100.225,False,
2022-07-12,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,17059.67,15342.27,15343.73,89.93,100.01,False,
2022-07-13,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,17581.06,16370.99,16272.35,93.12,99.397,False,
2022-07-14,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,13201.95,12565.83,12589.6,95.18,100.189,False,
2022-07-15,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16627.26,15570.69,15527.79,93.65,99.724,False,
2022-07-16,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,14990.54,13539.9,13545.56,90.32,100.042,False,
2022-07-17,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,17261.3,15142.99,15234.67,87.73,100.605,False,
2022-07-18,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16461.95,15877.43,15882.12,96.45,100.029,False,
2022-07-19,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,17988.3,16129.99,16037.5,89.67,99.427,False,
2022-07-20,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16247.24,15458.02,15435.77,95.14,99.856,False,
2022-07-21,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,14358.61,13955.73,13931.59,97.19,99.827,False,
2022-07-22,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,17340.61,15666.85,15591.31,90.35,99.518,False,
2022-07-23,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,15227.25,13804.35,13788.95,90.66,99.888,False,
2022-07-24,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,17700.79,16289.77,16290.85,92.03,100.007,False,
2022-07-25,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,15158.88,13669.41,13569.83,90.17,99.271,False,
2022-07-26,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,15571.49,14803.52,14680.2,95.07,99.167,False,
2022-07-27,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16670.39,15606.89,15510.28,93.62,99.381,False,
2022-07-28,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16411.76,15673.11,15639.07,95.5,99.783,False,
2022-07-29,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,17642.3,15553.66,15515.52,88.16,99.755,False,
2022-07-30,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,15689.08,15486.8,15388.84,98.71,99.367,False,
2022-07-31,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16056.73,15271.72,15245.41,95.11,99.828,False,
2022-08-01,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,14255.1,12587.02,12599.91,88.3,100.102,False,
2022-08-02,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,15302.92,14806.82,14838.16,96.76,100.212,False,
2022-08-03,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,15787.23,15195.23,15184.03,96.25,99.926,False,
2022-08-04,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,14898.48,14286.71,14253.92,95.89,99.771,False,
2022-08-05,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,15637.94,13900.25,13897.87,88.89,99.983,False,
2022-08-06,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16263.92,14226.06,14153.03,87.47,99.487,False,
2022-08-07,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16334.51,15531.33,15433.42,95.08,99.37,False,
2022-08-08,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16077.93,13505.52,13528.56,84.0,100.171,False,
2022-08-09,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,17074.99,16827.14,16808.24,98.55,99.888,False,
2022-08-10,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16017.28,14243.65,14245.39,88.93,100.012,False,
2022-08-11,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,15735.16,15719.42,15726.24,99.9,100.043,False,
2022-08-12,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,14293.47,12161.04,12092.4,85.08,99.436,False,
2022-08-13,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,14796.42,13070.27,13017.0,88.33,99.592,False,
2022-08-14,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16292.26,15865.79,15783.06,97.38,99.479,False,
2022-08-15,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,18005.82,17856.05,17726.34,99.17,99.274,False,
2022-08-16,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,15046.8,14568.41,14598.45,96.82,100.206,False,
2022-08-17,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,14779.23,14520.91,14467.45,98.25,99.632,False,
2022-08-18,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16218.32,15324.04,15296.44,94.49,99.82,False,
2022-08-19,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,14621.53,13946.38,13925.2,95.38,99.848,False,
2022-08-20,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,17829.56,16958.08,16990.89,95.11,100.194,False,
2022-08-21,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16461.32,15311.52,15263.74,93.02,99.688,False,
2022-08-22,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,17820.29,17216.33,17154.88,96.61,99.643,False,
2022-08-23,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16994.85,16344.46,16161.63,96.17,98.881,False,
2022-08-24,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,15639.58,13741.82,13708.11,87.87,99.755,False,
2022-08-25,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16265.94,14531.82,14509.26,89.34,99.845,False,
2022-08-26,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,13927.13,13667.55,13647.04,98.14,99.85,False,
2022-08-27,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,15556.28,13914.03,13883.09,89.44,99.778,False,
2022-08-28,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,14650.88,14496.46,14452.55,98.95,99.697,False,
2022-08-29,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,15644.64,13386.76,13367.12,85.57,99.853,False,
2022-08-30,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,15038.17,13135.17,13175.97,87.35,100.311,False,
2022-08-31,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,14675.99,13019.92,13023.61,88.72,100.028,False,
2022-09-01,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,14289.04,13356.94,13345.43,93.48,99.914,False,
2022-09-02,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,15618.33,14934.17,14911.02,95.62,99.845,False,
2022-09-03,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,14764.34,13837.32,13858.04,93.72,100.15,False,
2022-09-04,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,15211.54,13404.58,13378.77,88.12,99.807,False,
2022-09-05,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16289.43,13891.08,13912.72,85.28,100.156,False,
2022-09-06,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,12349.34,11664.78,11617.59,94.46,99.595,False,
2022-09-07,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,15633.23,14891.26,14914.39,95.25,100.155,False,
2022-09-08,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,14540.22,13439.39,13471.73,92.43,100.241,False,
2022-09-09,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16287.25,14745.2,14738.98,90.53,99.958,False,
2022-09-10,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,12748.68,11102.69,11122.29,87.09,100.177,False,
2022-09-11,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,17799.5,15694.43,15761.76,88.17,100.429,False,
2022-09-12,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16151.46,13850.88,13811.1,85.76,99.713,False,
2022-09-13,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,14364.81,13852.52,13809.0,96.43,99.686,False,
2022-09-14,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,14860.69,13810.53,13824.17,92.93,100.099,False,
2022-09-15,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,14217.23,13199.68,13157.38,92.84,99.68,False,
2022-09-16,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,15641.24,14714.13,14714.58,94.07,100.003,False,
2022-09-17,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,14058.71,11826.58,11792.42,84.12,99.711,False,
2022-09-18,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,15515.58,14854.15,14877.2,95.74,100.155,False,
2022-09-19,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,15020.15,14635.79,14635.33,97.44,99.997,False,
2022-09-20,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,14169.63,13231.32,13213.02,93.38,99.862,False,
2022-09-21,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,11739.81,10936.27,10875.96,93.16,99.449,False,
2022-09-22,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,14603.0,12389.53,12406.01,84.84,100.133,False,
2022-09-23,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,15962.77,14782.84,14782.14,92.61,99.995,False,
2022-09-24,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,15037.11,14163.67,14144.64,94.19,99.866,False,
2022-09-25,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,14976.94,13182.59,13146.37,88.02,99.725,False,
2022-09-26,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,13954.64,12382.92,12376.25,88.74,99.946,False,
2022-09-27,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,14383.03,13888.77,13829.58,96.56,99.574,False,
2022-09-28,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,13680.54,13384.03,13363.94,97.83,99.85,False,
2022-09-29,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,15141.1,14768.16,14769.75,97.54,100.011,False,
2022-09-30,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,13574.46,13499.4,13464.47,99.45,99.741,False,
2022-10-01,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16918.15,15326.14,15280.26,90.59,99.701,False,
2022-10-02,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,15662.57,14108.01,14035.84,90.07,99.488,False,
2022-10-03,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,14296.06,13036.73,13042.73,91.19,100.046,False,
2022-10-04,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,13518.75,13261.37,13280.78,98.1,100.146,False,
2022-10-05,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,15413.39,13260.78,13236.45,86.03,99.817,False,
2022-10-06,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,15608.41,14149.37,14136.87,90.65,99.912,False,
2022-10-07,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,15588.72,15531.7,15474.26,99.63,99.63,False,
2022-10-08,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,15870.74,13606.81,13625.21,85.74,100.135,False,
2022-10-09,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16154.34,15790.72,15771.94,97.75,99.881,False,
2022-10-10,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,15751.12,13929.72,13922.46,88.44,99.948,False,
2022-10-11,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16512.21,14279.69,14241.3,86.48,99.731,False,
2022-10-12,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,17106.21,15896.15,15941.85,92.93,100.287,False,
2022-10-13,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16146.87,14547.22,14480.94,90.09,99.544,False,
2022-10-14,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16562.04,16365.56,16293.06,98.81,99.557,False,
2022-10-15,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,13066.57,11001.62,10964.21,84.2,99.66,False,
2022-10-16,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,15676.83,14475.41,14450.68,92.34,99.829,False,
2022-10-17,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16901.51,14547.56,14499.99,86.07,99.673,False,
2022-10-18,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,17590.13,15084.81,15028.3,85.76,99.625,False,
2022-10-19,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,12784.57,10850.23,10824.31,84.87,99.761,False,
2022-10-20,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,14730.78,12796.35,12745.68,86.87,99.604,False,
2022-10-21,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16411.4,15825.34,15896.45,96.43,100.449,False,
2022-10-22,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,14714.59,14067.85,14066.59,95.6,99.991,False,
2022-10-23,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,13282.98,12533.95,12529.77,94.36,99.967,False,
2022-10-24,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,13555.16,13033.33,13094.7,96.15,100.471,False,
2022-10-25,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,15370.85,14319.02,14291.54,93.16,99.808,False,
2022-10-26,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,14527.68,12711.47,12684.01,87.5,99.784,False,
2022-10-27,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,14745.68,13451.99,13414.32,91.23,99.72,False,
2022-10-28,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,14071.33,13280.43,13278.98,94.38,99.989,False,
2022-10-29,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16591.65,16007.04,16050.0,96.48,100.268,False,
2022-10-30,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16873.01,14420.67,14469.13,85.47,100.336,False,
2022-10-31,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,14531.99,13214.76,13203.27,90.94,99.913,False,
2022-11-01,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,14794.84,12488.02,12473.99,84.41,99.888,False,
2022-11-02,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,13387.93,12398.13,12360.19,92.61,99.694,False,
2022-11-03,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,14934.86,14883.85,14790.26,99.66,99.371,False,
2022-11-04,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,15507.86,14958.06,14855.16,96.45,99.312,False,
2022-11-05,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,14660.82,12795.26,12721.51,87.28,99.424,False,
2022-11-06,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,12883.53,12516.5,12466.88,97.15,99.604,False,
2022-11-07,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,14725.05,13713.05,13758.22,93.13,100.329,False,
2022-11-08,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,15204.01,14592.96,14506.51,95.98,99.408,False,
2022-11-09,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,13889.21,13875.32,13867.31,99.9,99.942,False,
2022-11-10,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,17377.15,16690.28,16634.7,96.05,99.667,False,
2022-11-11,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,13951.61,12166.71,12096.34,87.21,99.422,False,
2022-11-12,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,15014.14,14229.07,14236.49,94.77,100.052,False,
2022-11-13,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,15124.52,14135.72,14092.85,93.46,99.697,False,
2022-11-14,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16024.69,15716.33,15712.9,98.08,99.978,False,
2022-11-15,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,15305.29,14228.33,14203.35,92.96,99.824,False,
2022-11-16,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,15344.13,14345.77,14302.26,93.49,99.697,False,
2022-11-17,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,15380.72,13530.64,13465.65,87.97,99.52,False,
2022-11-18,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16540.81,13829.12,13751.26,83.61,99.437,False,
2022-11-19,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,15176.53,13490.15,13485.38,88.89,99.965,False,
2022-11-20,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,15392.07,13698.4,13643.16,89.0,99.597,False,
2022-11-21,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,14585.0,13157.07,13157.42,90.21,100.003,False,
2022-11-22,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,14027.67,13102.31,13052.19,93.4,99.617,False,
2022-11-23,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16479.84,14231.62,14260.6,86.36,100.204,False,
2022-11-24,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,15122.45,12954.01,12867.18,85.66,99.33,False,
2022-11-25,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,14555.29,13802.09,13787.96,94.83,99.898,False,
2022-11-26,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,14396.07,12986.91,12931.27,90.21,99.572,False,
2022-11-27,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,14235.4,13435.98,13361.45,94.38,99.445,False,
2022-11-28,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,14713.98,14134.84,14122.54,96.06,99.913,False,
2022-11-29,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,15455.79,13581.03,13508.42,87.87,99.465,False,
2022-11-30,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,15221.3,14078.74,14106.09,92.49,100.194,False,
2022-12-01,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,17986.5,16355.8,16312.8,90.93,99.737,False,
2022-12-02,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16015.37,15593.03,15493.09,97.36,99.359,False,
2022-12-03,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16177.68,15778.08,15780.81,97.53,100.017,False,
2022-12-04,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16967.0,15296.43,15224.46,90.15,99.53,False,
2022-12-05,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,17990.9,16763.25,16637.81,93.18,99.252,False,
2022-12-06,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,14939.43,14306.09,14250.93,95.76,99.614,False,
2022-12-07,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,14222.62,12692.87,12655.09,89.24,99.702,False,
2022-12-08,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,14841.58,13830.61,13811.62,93.19,99.863,False,
2022-12-09,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16624.36,14132.83,14118.2,85.01,99.897,False,
2022-12-10,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,14599.89,13849.38,13844.36,94.86,99.964,False,
2022-12-11,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,14878.55,14863.67,14746.94,99.9,99.215,False,
2022-12-12,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,13878.2,13789.26,13805.85,99.36,100.12,False,
2022-12-13,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,15681.82,14294.79,14255.7,91.16,99.727,False,
2022-12-14,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16885.93,,,95.91,99.835,True,Simulated missing capture/storage readings.
2022-12-15,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,16414.93,14110.44,14059.2,85.96,99.637,False,
2022-12-16,F-B02,Beta Capture Hub,Norway,Rogaland,Depleted Oil Field,15387.03,14595.52,14569.98,94.86,99.825,False,
